"date";"mesocosm";"taxon_BBE";"BBE"
"15/07/15";1;"green_algae";107.453333333333
"15/07/15";1;"cyano";0
"15/07/15";1;"diatoms";0
"15/07/15";1;"cryptophyta";0
"15/07/15";1;"yellow_substances";0.456666666666667
"15/07/15";2;"green_algae";94.6033333333333
"15/07/15";2;"cyano";0
"15/07/15";2;"diatoms";0
"15/07/15";2;"cryptophyta";0
"15/07/15";2;"yellow_substances";0.683333333333333
"15/07/15";3;"green_algae";106.076666666667
"15/07/15";3;"cyano";0
"15/07/15";3;"diatoms";0
"15/07/15";3;"cryptophyta";0
"15/07/15";3;"yellow_substances";0.506666666666667
"15/07/15";4;"green_algae";115.176666666667
"15/07/15";4;"cyano";0
"15/07/15";4;"diatoms";0
"15/07/15";4;"cryptophyta";0
"15/07/15";4;"yellow_substances";0.583333333333333
"15/07/15";5;"green_algae";91.3366666666667
"15/07/15";5;"cyano";0
"15/07/15";5;"diatoms";0
"15/07/15";5;"cryptophyta";0
"15/07/15";5;"yellow_substances";0.233333333333333
"15/07/15";6;"green_algae";96.6666666666667
"15/07/15";6;"cyano";0
"15/07/15";6;"diatoms";0
"15/07/15";6;"cryptophyta";0
"15/07/15";6;"yellow_substances";0.743333333333333
"15/07/15";7;"green_algae";120.05
"15/07/15";7;"cyano";0
"15/07/15";7;"diatoms";1
"15/07/15";7;"cryptophyta";0
"15/07/15";7;"yellow_substances";0.296666666666667
"15/07/15";8;"green_algae";84.94
"15/07/15";8;"cyano";0
"15/07/15";8;"diatoms";0.04
"15/07/15";8;"cryptophyta";0
"15/07/15";8;"yellow_substances";0.47
"15/07/15";9;"green_algae";116.21
"15/07/15";9;"cyano";0
"15/07/15";9;"diatoms";0
"15/07/15";9;"cryptophyta";0
"15/07/15";9;"yellow_substances";0.32
"15/07/15";10;"green_algae";134.283333333333
"15/07/15";10;"cyano";0
"15/07/15";10;"diatoms";2.69333333333333
"15/07/15";10;"cryptophyta";0
"15/07/15";10;"yellow_substances";0
"15/07/15";11;"green_algae";97.53
"15/07/15";11;"cyano";0
"15/07/15";11;"diatoms";0
"15/07/15";11;"cryptophyta";0
"15/07/15";11;"yellow_substances";0.606666666666667
"15/07/15";12;"green_algae";114.663333333333
"15/07/15";12;"cyano";0
"15/07/15";12;"diatoms";0
"15/07/15";12;"cryptophyta";0
"15/07/15";12;"yellow_substances";0.68
"15/07/15";13;"green_algae";115.476666666667
"15/07/15";13;"cyano";0
"15/07/15";13;"diatoms";0
"15/07/15";13;"cryptophyta";0
"15/07/15";13;"yellow_substances";0.303333333333333
"15/07/15";14;"green_algae";94.0633333333333
"15/07/15";14;"cyano";0
"15/07/15";14;"diatoms";0
"15/07/15";14;"cryptophyta";0
"15/07/15";14;"yellow_substances";0.43
"15/07/15";15;"green_algae";110.773333333333
"15/07/15";15;"cyano";0
"15/07/15";15;"diatoms";0
"15/07/15";15;"cryptophyta";0
"15/07/15";15;"yellow_substances";0.1
"15/07/15";16;"green_algae";118.44
"15/07/15";16;"cyano";0
"15/07/15";16;"diatoms";1.71333333333333
"15/07/15";16;"cryptophyta";0
"15/07/15";16;"yellow_substances";0.0133333333333333
"15/07/15";17;"green_algae";94.6833333333333
"15/07/15";17;"cyano";0
"15/07/15";17;"diatoms";0
"15/07/15";17;"cryptophyta";0
"15/07/15";17;"yellow_substances";0.493333333333333
