"date";"series";"mesocosm";"conservation";"time";"DOC"
"2015_07_22";"1";"1";"1";0;7.72937697093828
"2015_07_22";"1";"1";"1";0;7.76378489987271
"2015_07_22";"1";"1";"1";0;7.72007753068573
"2015_07_22";"1";"2";"1";0;7.4299349948062
"2015_07_22";"1";"2";"1";0;7.33880048033122
"2015_07_22";"1";"2";"1";0;7.19372921239145
"2015_07_22";"1";"3";"1";0;7.54617799796306
"2015_07_22";"1";"3";"1";0;7.6856696017513
"2015_07_22";"1";"3";"1";0;7.63266279231177
"2015_07_22";"1";"4";"1";0;10.7228667882338
"2015_07_22";"1";"4";"1";0;10.5368779831829
"2015_07_22";"1";"4";"1";0;10.7135673479813
"2015_07_22";"1";"5";"1";0;7.58337575897326
"2015_07_22";"1";"5";"1";0;7.64568200866534
"2015_07_22";"1";"5";"1";0;7.58895542312479
"2015_07_22";"1";"6";"1";0;7.73588657911507
"2015_07_22";"1";"6";"1";0;7.69868881810487
"2015_07_22";"1";"6";"1";0;7.58523564702377
"2015_07_22";"1";"7";"1";0;7.8465499181204
"2015_07_22";"1";"7";"1";0;7.86793863070126
"2015_07_22";"1";"7";"1";0;8.00650029046425
"2015_07_22";"1";"8";"1";0;7.45411353946283
"2015_07_22";"1";"8";"1";0;7.55175766211459
"2015_07_22";"1";"8";"1";0;7.63545262438754
"2015_07_22";"1";"9";"1";0;7.57035654261969
"2015_07_22";"1";"9";"1";0;7.4689926438669
"2015_07_22";"1";"9";"1";0;7.44388415518502
"2015_07_22";"1";"10";"1";0;7.7991227728324
"2015_07_22";"1";"10";"1";0;7.76564478792322
"2015_07_22";"1";"10";"1";0;7.81214198918597
"2015_07_22";"1";"11";"1";0;7.49224124449828
"2015_07_22";"1";"11";"1";0;7.51084012500338
"2015_07_22";"1";"11";"1";0;7.63731251243805
"2015_07_22";"1";"12";"1";0;7.6856696017513
"2015_07_22";"1";"12";"1";0;7.68659954577655
"2015_07_22";"1";"12";"1";0;7.61871363193295
"2015_07_22";"1";"13";"1";0;7.40017678599804
"2015_07_22";"1";"13";"1";0;7.43086493883145
"2015_07_22";"1";"13";"1";0;7.51920962123067
"2015_07_22";"1";"14";"1";0;7.23371680547741
"2015_07_22";"1";"14";"1";0;7.36111913693734
"2015_07_22";"1";"14";"1";0;7.28114395076541
"2015_07_22";"1";"15";"1";0;7.32299143190188
"2015_07_22";"1";"15";"1";0;7.37506829731616
"2015_07_22";"1";"15";"1";0;7.46527286776589
"2015_07_22";"1";"16";"1";0;7.63731251243805
"2015_07_22";"1";"16";"1";0;7.60290458350361
"2015_07_22";"1";"16";"1";0;7.60662435960463
"2015_07_22";"1";"17";"1";0;7.15095178722973
"2015_07_22";"1";"17";"1";0;7.35925924888683
"2015_07_22";"1";"17";"1";0;7.4197056105284
"2015_07_22";"1";"18";"1";0;7.61592379985718
"2015_07_22";"1";"18";"1";0;7.60011475142785
"2015_07_22";"1";"18";"1";0;7.54710794198832
"2015_07_22";"1";"19";"1";0;7.45039376336181
"2015_07_22";"1";"19";"1";0;7.29323322309373
"2015_07_22";"1";"19";"1";0;7.39552706587177
"2015_07_22";"1";"20";"1";0;7.85491941434769
"2015_07_22";"1";"20";"1";0;7.81493182126173
"2015_07_22";"1";"20";"1";0;7.88746745523162
"2015_07_22";"1";"21";"1";0;8.21945747224762
"2015_07_22";"1";"21";"1";0;8.02788900304511
"2015_07_22";"1";"21";"1";0;8.12832295777264
