"taxon";"mesocosm";"concentration";"date"
"Chlorophycees";"1";1534;"24/09/15"
"Zygophycees";"1";2197;"24/09/15"
"Chrysophycees";"1";54;"24/09/15"
"Xanthophycees";"1";0;"24/09/15"
"Diatomophycees";"1";29;"24/09/15"
"Cryptophycees";"1";0;"24/09/15"
"Dinophycees";"1";17;"24/09/15"
"Cyanobacteries";"1";3521;"24/09/15"
"Indetermines";"1";0;"24/09/15"
"Chlorophycees";"2";1177;"24/09/15"
"Zygophycees";"2";374;"24/09/15"
"Chrysophycees";"2";13;"24/09/15"
"Xanthophycees";"2";0;"24/09/15"
"Diatomophycees";"2";30;"24/09/15"
"Cryptophycees";"2";0;"24/09/15"
"Dinophycees";"2";35;"24/09/15"
"Cyanobacteries";"2";513;"24/09/15"
"Indetermines";"2";0;"24/09/15"
"Chlorophycees";"3";352;"24/09/15"
"Zygophycees";"3";649;"24/09/15"
"Chrysophycees";"3";5;"24/09/15"
"Xanthophycees";"3";2;"24/09/15"
"Diatomophycees";"3";35;"24/09/15"
"Cryptophycees";"3";0;"24/09/15"
"Dinophycees";"3";10;"24/09/15"
"Cyanobacteries";"3";587;"24/09/15"
"Indetermines";"3";0;"24/09/15"
"Chlorophycees";"4";960;"24/09/15"
"Zygophycees";"4";1446;"24/09/15"
"Chrysophycees";"4";13;"24/09/15"
"Xanthophycees";"4";13;"24/09/15"
"Diatomophycees";"4";46;"24/09/15"
"Cryptophycees";"4";0;"24/09/15"
"Dinophycees";"4";34;"24/09/15"
"Cyanobacteries";"4";218;"24/09/15"
"Indetermines";"4";0;"24/09/15"
"Chlorophycees";"5";2871;"24/09/15"
"Zygophycees";"5";501;"24/09/15"
"Chrysophycees";"5";13;"24/09/15"
"Xanthophycees";"5";0;"24/09/15"
"Diatomophycees";"5";23;"24/09/15"
"Cryptophycees";"5";0;"24/09/15"
"Dinophycees";"5";34;"24/09/15"
"Cyanobacteries";"5";114;"24/09/15"
"Indetermines";"5";0;"24/09/15"
"Chlorophycees";"6";478;"24/09/15"
"Zygophycees";"6";1025;"24/09/15"
"Chrysophycees";"6";21;"24/09/15"
"Xanthophycees";"6";2;"24/09/15"
"Diatomophycees";"6";13;"24/09/15"
"Cryptophycees";"6";0;"24/09/15"
"Dinophycees";"6";2;"24/09/15"
"Cyanobacteries";"6";231;"24/09/15"
"Indetermines";"6";0;"24/09/15"
"Chlorophycees";"7";1777;"24/09/15"
"Zygophycees";"7";1702;"24/09/15"
"Chrysophycees";"7";13;"24/09/15"
"Xanthophycees";"7";17;"24/09/15"
"Diatomophycees";"7";63;"24/09/15"
"Cryptophycees";"7";0;"24/09/15"
"Dinophycees";"7";4;"24/09/15"
"Cyanobacteries";"7";1882;"24/09/15"
"Indetermines";"7";0;"24/09/15"
"Chlorophycees";"8";664;"24/09/15"
