mesocosm;richness;diversity
1;13;1.8582179987
2;15;2.448903726
3;20;1.7259719798
4;16;1.5540758586
5;16;1.9982222846
6;16;1.3116916168
7;19;1.6828758422
8;19;1.6042712762
9;14;1.5779308366
10;15;1.3162908212
11;16;1.75318412
12;13;1.8648695677
13;15;1.5217939868
14;17;1.9528755774
15;13;1.0393122254
16;13;1.8312742389
17;14;1.469656491
18;13;1.5563336576
19;13;2.0590272201
20;17;1.9710101342
21;13;1.2016068702
22;14;1.9847008658
23;18;2.2410300442
24;15;0.8734952558
25;17;1.7063151193
26;21;2.5363002205
27;14;1.6301426137
28;16;2.2682704306
29;14;1.7030709599
30;14;0.9007269581
31;17;1.8390737066
32;14;1.5745817609
33;13;1.4904612786
34;13;1.0967948089
35;14;1.9193593474
36;13;1.5596386861
