"date";"mesocosm";"taxon_cyto";"cyto"
"2015_08_07";"28";"picophytoplankton";53.907
"2015_08_07";"9";"picophytoplankton";93.555
"2015_08_07";"7";"picophytoplankton";41.37
"2015_08_07";"1";"picophytoplankton";85.092
"2015_08_07";"19";"picophytoplankton";92.211
"2015_08_07";"31";"picophytoplankton";45.276
"2015_08_07";"36";"picophytoplankton";59.472
"2015_08_07";"29";"picophytoplankton";44.625
"2015_08_07";"32";"picophytoplankton";37.8
"2015_08_07";"11";"picophytoplankton";33.705
"2015_08_07";"2";"picophytoplankton";136.668
"2015_08_07";"20";"picophytoplankton";42.441
"2015_08_07";"27";"picophytoplankton";64.512
"2015_08_07";"16";"picophytoplankton";132.678
"2015_08_07";"26";"picophytoplankton";38.598
"2015_08_07";"12";"picophytoplankton";67.62
"2015_08_07";"8";"picophytoplankton";87.402
"2015_08_07";"14";"picophytoplankton";80.241
"2015_08_07";"17";"picophytoplankton";94.899
"2015_08_07";"21";"picophytoplankton";94.122
"2015_08_07";"18";"picophytoplankton";195.426
"2015_08_07";"13";"picophytoplankton";45.78
"2015_08_07";"30";"picophytoplankton";56.301
"2015_08_07";"5";"picophytoplankton";98.49
"2015_08_07";"15";"picophytoplankton";85.869
"2015_08_07";"25";"picophytoplankton";40.215
"2015_08_07";"10";"picophytoplankton";47.061
"2015_08_07";"24";"picophytoplankton";72.303
"2015_08_07";"6";"picophytoplankton";49.455
"2015_08_07";"4";"picophytoplankton";54.635
"2015_08_07";"33";"picophytoplankton";29.589
"2015_08_07";"22";"picophytoplankton";65.352
"2015_08_07";"23";"picophytoplankton";43.575
"2015_08_07";"34";"picophytoplankton";133.539
"2015_08_07";"35";"picophytoplankton";105.42
"2015_08_07";"3";"picophytoplankton";66.01
"2015_09_01";"32";"picophytoplankton";3.822
"2015_09_01";"27";"picophytoplankton";9.1455
"2015_09_01";"33";"picophytoplankton";48.237
"2015_09_01";"1";"picophytoplankton";32.55
"2015_09_01";"4";"picophytoplankton";21.42
"2015_09_01";"34";"picophytoplankton";13.167
"2015_09_01";"9";"picophytoplankton";3.213
"2015_09_01";"20";"picophytoplankton";9.6285
"2015_09_01";"3";"picophytoplankton";25.641
"2015_09_01";"24";"picophytoplankton";18.018
"2015_09_01";"28";"picophytoplankton";27.6
"2015_09_01";"15";"picophytoplankton";6.105
"2015_09_01";"5";"picophytoplankton";55.965
"2015_09_01";"19";"picophytoplankton";112.105
"2015_09_01";"18";"picophytoplankton";9.639
"2015_09_01";"10";"picophytoplankton";5.745
"2015_09_01";"25";"picophytoplankton";8.4105
"2015_09_01";"35";"picophytoplankton";50.967
"2015_09_01";"7";"picophytoplankton";4.305
"2015_09_01";"12";"picophytoplankton";16.17
"2015_09_01";"13";"picophytoplankton";26.124
"2015_09_01";"17";"picophytoplankton";24.087
"2015_09_01";"14";"picophytoplankton";31.773
"2015_09_01";"21";"picophytoplankton";20.937
"2015_09_01";"6";"picophytoplankton";24.612
"2015_09_01";"11";"picophytoplankton";17.829
"2015_09_01";"22";"picophytoplankton";6.93
"2015_09_01";"29";"picophytoplankton";16.506
"2015_09_01";"31";"picophytoplankton";8.415
"2015_09_01";"30";"picophytoplankton";5.901
"2015_09_01";"23";"picophytoplankton";59.514
"2015_09_01";"26";"picophytoplankton";35.931
"2015_09_01";"36";"picophytoplankton";21.777
"2015_09_01";"8";"picophytoplankton";10.5315
"2015_09_01";"2";"picophytoplankton";32.508
"2015_09_01";"16";"picophytoplankton";28.581
"2015_09_24";"4";"picophytoplankton";17.836875
"2015_09_24";"19";"picophytoplankton";97.51
"2015_09_24";"13";"picophytoplankton";19.76625
"2015_09_24";"31";"picophytoplankton";3.0975
"2015_09_24";"23";"picophytoplankton";87.633
"2015_09_24";"22";"picophytoplankton";9.226875
"2015_09_24";"12";"picophytoplankton";49.707
"2015_09_24";"28";"picophytoplankton";1.974
"2015_09_24";"3";"picophytoplankton";1.9215
"2015_09_24";"10";"picophytoplankton";0.924
"2015_09_24";"30";"picophytoplankton";24.717
"2015_09_24";"20";"picophytoplankton";40.698
"2015_09_24";"2";"picophytoplankton";55.881
"2015_09_24";"1";"picophytoplankton";13.545
"2015_09_24";"11";"picophytoplankton";1.70625
"2015_09_24";"32";"picophytoplankton";2.8245
"2015_09_24";"21";"picophytoplankton";96.096
"2015_09_24";"29";"picophytoplankton";19.365
"2015_09_24";"26";"picophytoplankton";54.159
"2015_09_24";"8";"picophytoplankton";8.0115
"2015_09_24";"25";"picophytoplankton";0.63
"2015_09_24";"7";"picophytoplankton";0.84
"2015_09_24";"34";"picophytoplankton";31.521
"2015_09_24";"27";"picophytoplankton";14.34
"2015_09_24";"6";"picophytoplankton";5.505
"2015_09_24";"24";"picophytoplankton";1.092
"2015_09_24";"33";"picophytoplankton";25.71
"2015_09_24";"5";"picophytoplankton";49.329
"2015_09_24";"14";"picophytoplankton";78.876
"2015_09_24";"15";"picophytoplankton";97.209
"2015_09_24";"17";"picophytoplankton";23.121
"2015_09_24";"16";"picophytoplankton";4.2315
"2015_09_24";"9";"picophytoplankton";0.777
"2015_09_24";"36";"picophytoplankton";24.717
"2015_09_24";"18";"picophytoplankton";91.98
"2015_09_24";"35";"picophytoplankton";61.383
"2015_10_21";"27";"picophytoplankton";8.778
"2015_10_21";"22";"picophytoplankton";1.81125
"2015_10_21";"11";"picophytoplankton";19.173
"2015_10_21";"13";"picophytoplankton";7.1295
"2015_10_21";"12";"picophytoplankton";13.8285
"2015_10_21";"18";"picophytoplankton";59.178
"2015_10_21";"34";"picophytoplankton";43.449
"2015_10_21";"28";"picophytoplankton";7.476
"2015_10_21";"15";"picophytoplankton";53.592
"2015_10_21";"23";"picophytoplankton";11.949
"2015_10_21";"1";"picophytoplankton";52.752
"2015_10_21";"26";"picophytoplankton";4.65675
"2015_10_21";"14";"picophytoplankton";22.827
"2015_10_21";"3";"picophytoplankton";12.768
"2015_10_21";"24";"picophytoplankton";2.16825
"2015_10_21";"25";"picophytoplankton";2.52
"2015_10_21";"29";"picophytoplankton";12.5685
"2015_10_21";"19";"picophytoplankton";31.059
"2015_10_21";"2";"picophytoplankton";13.0095
"2015_10_21";"6";"picophytoplankton";6.153
"2015_10_21";"35";"picophytoplankton";29.904
"2015_10_21";"20";"picophytoplankton";41.4645
"2015_10_21";"17";"picophytoplankton";13.062
"2015_10_21";"8";"picophytoplankton";8.715
"2015_10_21";"33";"picophytoplankton";77.28
"2015_10_21";"30";"picophytoplankton";19.824
"2015_10_21";"5";"picophytoplankton";12.6525
"2015_10_21";"9";"picophytoplankton";0.1365
"2015_10_21";"32";"picophytoplankton";1.785
"2015_10_21";"31";"picophytoplankton";5.271
"2015_10_21";"10";"picophytoplankton";0.7665
"2015_10_21";"4";"picophytoplankton";6.4365
"2015_10_21";"21";"picophytoplankton";11.9385
"2015_10_21";"36";"picophytoplankton";7.182
"2015_10_21";"7";"picophytoplankton";1.9425
"2015_10_21";"16";"picophytoplankton";16.6425
"2015_08_07";"28";"nanophytoplankton";2.835
"2015_08_07";"9";"nanophytoplankton";3.738
"2015_08_07";"7";"nanophytoplankton";2.835
"2015_08_07";"1";"nanophytoplankton";2.226
"2015_08_07";"19";"nanophytoplankton";3.927
"2015_08_07";"31";"nanophytoplankton";5.334
"2015_08_07";"36";"nanophytoplankton";3.78
"2015_08_07";"29";"nanophytoplankton";3.759
"2015_08_07";"32";"nanophytoplankton";4.473
"2015_08_07";"11";"nanophytoplankton";4.053
"2015_08_07";"2";"nanophytoplankton";3.591
"2015_08_07";"20";"nanophytoplankton";4.074
"2015_08_07";"27";"nanophytoplankton";2.121
"2015_08_07";"16";"nanophytoplankton";3.213
"2015_08_07";"26";"nanophytoplankton";3.717
"2015_08_07";"12";"nanophytoplankton";3.675
"2015_08_07";"8";"nanophytoplankton";3.948
"2015_08_07";"14";"nanophytoplankton";3.654
"2015_08_07";"17";"nanophytoplankton";2.436
"2015_08_07";"21";"nanophytoplankton";4.347
"2015_08_07";"18";"nanophytoplankton";3.339
"2015_08_07";"13";"nanophytoplankton";2.037
"2015_08_07";"30";"nanophytoplankton";3.171
"2015_08_07";"5";"nanophytoplankton";5.32
"2015_08_07";"15";"nanophytoplankton";2.73
"2015_08_07";"25";"nanophytoplankton";3.654
"2015_08_07";"10";"nanophytoplankton";3.129
"2015_08_07";"24";"nanophytoplankton";3.738
"2015_08_07";"6";"nanophytoplankton";3.927
"2015_08_07";"4";"nanophytoplankton";3.815
"2015_08_07";"33";"nanophytoplankton";2.1
"2015_08_07";"22";"nanophytoplankton";2.793
"2015_08_07";"23";"nanophytoplankton";3.129
"2015_08_07";"34";"nanophytoplankton";3.15
"2015_08_07";"35";"nanophytoplankton";4.536
"2015_08_07";"3";"nanophytoplankton";2.415
"2015_09_01";"32";"nanophytoplankton";3.2025
"2015_09_01";"27";"nanophytoplankton";4.347
"2015_09_01";"33";"nanophytoplankton";4.41
"2015_09_01";"1";"nanophytoplankton";5.733
"2015_09_01";"4";"nanophytoplankton";5.922
"2015_09_01";"34";"nanophytoplankton";5.712
"2015_09_01";"9";"nanophytoplankton";5.271
"2015_09_01";"20";"nanophytoplankton";4.0005
"2015_09_01";"3";"nanophytoplankton";3.57
"2015_09_01";"24";"nanophytoplankton";8.904
"2015_09_01";"28";"nanophytoplankton";5.49
"2015_09_01";"15";"nanophytoplankton";5.265
"2015_09_01";"5";"nanophytoplankton";4.116
"2015_09_01";"19";"nanophytoplankton";6.965
"2015_09_01";"18";"nanophytoplankton";4.4415
"2015_09_01";"10";"nanophytoplankton";5.445
"2015_09_01";"25";"nanophytoplankton";3.9585
"2015_09_01";"35";"nanophytoplankton";4.263
"2015_09_01";"7";"nanophytoplankton";4.965
"2015_09_01";"12";"nanophytoplankton";5.859
"2015_09_01";"13";"nanophytoplankton";2.604
"2015_09_01";"17";"nanophytoplankton";4.368
"2015_09_01";"14";"nanophytoplankton";4.578
"2015_09_01";"21";"nanophytoplankton";9.072
"2015_09_01";"6";"nanophytoplankton";5.922
"2015_09_01";"11";"nanophytoplankton";5.397
"2015_09_01";"22";"nanophytoplankton";6.51
"2015_09_01";"29";"nanophytoplankton";5.208
"2015_09_01";"31";"nanophytoplankton";4.83
"2015_09_01";"30";"nanophytoplankton";5.0715
"2015_09_01";"23";"nanophytoplankton";3.192
"2015_09_01";"26";"nanophytoplankton";1.974
"2015_09_01";"36";"nanophytoplankton";7.77
"2015_09_01";"8";"nanophytoplankton";2.8875
"2015_09_01";"2";"nanophytoplankton";1.743
"2015_09_01";"16";"nanophytoplankton";3.087
"2015_09_24";"4";"nanophytoplankton";2.65125
"2015_09_24";"19";"nanophytoplankton";7.105
"2015_09_24";"13";"nanophytoplankton";1.273125
"2015_09_24";"31";"nanophytoplankton";4.7775
