"sample_date";"analyse_date";"mesocosm";"pico";"nano";"cyano";"volume_phyto";"bacteria";"volume_bacteria";"hetero";"volume_hetero";"volume_sample_sybr";"volume_sybr";"volume_pfa";"volume_sample";"order";"remarque"
"2015_08_07";"2017_06_29";"28";2567;135;320;50;5012;2;1400;10;300;3;75;1500;"1";"none"
"2015_08_07";"2017_06_29";"9";4455;178;413;50;8329;2;877;8;300;3;75;1500;"2";"none"
"2015_08_07";"2017_06_29";"7";1970;135;199;50;2774;2;751;10;300;3;75;1500;"3";"none"
"2015_08_07";"2017_06_29";"1";4052;106;278;50;2213;2;640;10;300;3;75;1500;"4";"none"
"2015_08_07";"2017_06_29";"19";4391;187;588;50;11319;2;514;8;300;3;75;1500;"5";"none"
"2015_08_07";"2017_06_29";"31";2156;254;284;50;8526;2;540;8;300;3;75;1500;"6";"none"
"2015_08_07";"2017_06_29";"36";2832;180;281;50;6594;2;788;8;300;3;75;1500;"7";"none"
"2015_08_07";"2017_06_29";"29";2125;179;293;50;6930;2;466;8;300;3;75;1500;"8";"none"
"2015_08_07";"2017_06_29";"32";1800;213;337;50;4202;2;510;10;300;3;75;1500;"9";"none"
"2015_08_07";"2017_06_29";"11";1605;193;182;50;2598;3;734;20;300;3;75;1500;"10";"none"
"2015_08_07";"2017_06_29";"2";6508;171;399;50;3152;3;712;10;300;3;75;1500;"11";"none"
"2015_08_07";"2017_06_29";"20";2021;194;371;50;3191;3;487;20;300;3;75;1500;"12";"none"
"2015_08_07";"2017_06_29";"27";3072;101;468;50;5663;2;691;8;300;3;75;1500;"13";"none"
"2015_08_07";"2017_06_29";"16";6318;153;829;50;1958;3;644;20;300;3;75;1500;"14";"none"
"2015_08_07";"2017_06_29";"26";1838;177;679;50;2601;3;658;20;300;3;75;1500;"15";"none"
"2015_08_07";"2017_06_29";"12";3220;175;449;50;12265;2;631;8;300;3;75;1500;"16";"none"
"2015_08_07";"2017_06_30";"8";4162;188;202;50;4501;3;661;20;300;3;75;1500;"1";"none"
"2015_08_07";"2017_06_30";"14";3821;174;410;50;1514;3;539;20;300;3;75;1500;"2";"none"
"2015_08_07";"2017_06_30";"17";4519;116;415;50;1518;3;461;20;300;3;75;1500;"3";"none"
"2015_08_07";"2017_06_30";"21";4482;207;784;50;9864;2;524;8;300;3;75;1500;"4";"none"
"2015_08_07";"2017_06_30";"18";9306;159;522;50;2438;2;800;15;300;3;75;1500;"5";"none"
"2015_08_07";"2017_06_30";"13";2180;97;344;50;1115;2;560;20;300;3;75;1500;"6";"none"
"2015_08_07";"2017_06_30";"30";2681;151;289;50;6507;2;351;8;300;3;75;1500;"7";"none"
"2015_08_07";"2017_06_30";"5";2814;152;NA;30;2183;2;445;8;300;3;75;1500;"8";"premarque"
"2015_08_07";"2017_06_30";"15";4089;130;700;50;1699;2;466;20;300;3;75;1500;"9";"none"
"2015_08_07";"2017_06_30";"25";1915;174;846;50;6196;2;239;8;300;3;75;1500;"10";"none"
"2015_08_07";"2017_06_30";"10";2241;149;588;50;8877;2;690;8;300;3;75;1500;"11";"none"
"2015_08_07";"2017_06_30";"24";3443;178;718;50;6183;2;459;10;300;3;75;1500;"12";"none"
