tag_date;ordre;species;tag;initial_mass;remarques;mesocosm;introduction_date;fishing_date;final_mass;duration
13/07/15;5;rotengle;1395957815509630;6.178;;10;16/07/15;27/11/15;6.921;134
13/07/15;8;rotengle;1328745872294530;7.63;;4;16/07/15;27/11/15;8.323;134
13/07/15;9;rotengle;1155254963339900;6.715;;9;16/07/15;27/11/15;7.179;134
13/07/15;10;rotengle;1360614529630850;6.242;;10;16/07/15;27/11/15;7.109;134
13/07/15;12;rotengle;1315646222041730;5.102;;8;16/07/15;27/11/15;4.075;134
13/07/15;15;rotengle;1313275400094340;5.565;;30;16/07/15;27/11/15;6.142;134
13/07/15;19;rotengle;1239917358678660;5.131;;30;16/07/15;27/11/15;4.86;134
13/07/15;20;rotengle;1379533860569730;6.446;;12;16/07/15;27/11/15;6.834;134
13/07/15;22;gardon;1172804199711360;7.221;;18;27/07/15;27/11/15;9.707;123
13/07/15;23;rotengle;1237679680717440;6.61;;32;16/07/15;27/11/15;5.943;134
13/07/15;25;rotengle;1333302832595580;6.003;;29;16/07/15;27/11/15;8.371;134
13/07/15;28;rotengle;1310178728673920;6.642;;29;16/07/15;27/11/15;7.446;134
13/07/15;29;gardon;1163947977147010;8.629;;34;16/07/15;27/11/15;12.712;134
13/07/15;30;rotengle;1283537046536830;6.282;;32;16/07/15;27/11/15;6.045;134
13/07/15;31;rotengle;1226650204701310;5.177;;8;16/07/15;27/11/15;4.195;134
13/07/15;32;rotengle;1329673585230460;6.654;;32;16/07/15;27/11/15;4.435;134
13/07/15;34;rotengle;1190538119676540;5.904;;29;16/07/15;27/11/15;7.682;134
13/07/15;35;rotengle;1335415956505220;5.538;;9;16/07/15;27/11/15;5.813;134
13/07/15;37;rotengle;1159562815537790;4.775;;35;16/07/15;27/11/15;6.589;134
13/07/15;38;rotengle;1398096709223040;8.537;PHOTO 37;4;16/07/15;27/11/15;9.341;134
13/07/15;39;rotengle;1381561085133440;7.452;;15;16/07/15;27/11/15;6.311;134
13/07/15;42;rotengle;1255254686892670;6.747;2 PHOTOS;30;16/07/15;27/11/15;6.14;134
13/07/15;50;rotengle;1315461538448000;6.354;;20;16/07/15;27/11/15;6.962;134
13/07/15;51;rotengle;1396898413347460;6.46;;8;16/07/15;27/11/15;4.918;134
13/07/15;52;gardon;1223377439621760;8.556;;7;11/08/15;27/11/15;8.882;108
13/07/15;53;rotengle;1366082022998660;6.117;;15;16/07/15;27/11/15;6.318;134
13/07/15;55;rotengle;1209088083427970;5.598;;27;16/07/15;27/11/15;5.66;134
13/07/15;56;rotengle;1285903573516930;8.064;;18;16/07/15;27/11/15;6.364;134
13/07/15;58;rotengle;1166129820533380;6.219;;7;16/07/15;27/11/15;6.288;134
13/07/15;59;gardon;1177240900928130;6.53;;6;27/07/15;27/11/15;6.985;123
13/07/15;61;rotengle;1365025461043840;5.894;;12;16/07/15;27/11/15;4.838;134
13/07/15;62;rotengle;1359764126106240;5.483;;11;16/07/15;27/11/15;6.615;134
13/07/15;64;rotengle;1286075372208770;5.37;;19;16/07/15;27/11/15;4.892;134
13/07/15;65;rotengle;1149546951803520;4.426;;4;16/07/15;27/11/15;6.01;134
