"mesocosm";"date";"geris"
1;"10/09/15";0
2;"10/09/15";1
3;"10/09/15";0
4;"10/09/15";0
5;"10/09/15";0
6;"10/09/15";0
7;"10/09/15";0
8;"10/09/15";0
9;"10/09/15";0
10;"10/09/15";0
11;"10/09/15";0
12;"10/09/15";0
13;"10/09/15";1
14;"10/09/15";1
15;"10/09/15";0
16;"10/09/15";0
17;"10/09/15";0
18;"10/09/15";0
19;"10/09/15";0
20;"10/09/15";0
21;"10/09/15";0
22;"10/09/15";0
23;"10/09/15";0
24;"10/09/15";0
25;"10/09/15";0
26;"10/09/15";0
27;"10/09/15";0
28;"10/09/15";0
29;"10/09/15";0
30;"10/09/15";0
31;"10/09/15";1
32;"10/09/15";0
33;"10/09/15";1
34;"10/09/15";0
35;"10/09/15";0
36;"10/09/15";1
