"mesocosm";"depth";"date";"temperature";"oxygen";"pH";"turbidity";"chlorophyll"
10;150;"07/27/2015";21.556;15.88;10.29;3.31;31.61
10;50;"07/27/2015";0.02163;15.72;10.29;3.29;11.28
10;100;"07/27/2015";21.556;15.86;10.29;3.29;21.41
11;150;"07/27/2015";21.486;14.48;9.99;3.44;44.01
11;50;"07/27/2015";21.771;13.98;9.94;3.37;17.93
11;100;"07/27/2015";21.681;14.31;9.97;3.29;33.24
12;150;"07/27/2015";21.446;17.22;10.57;4.82;128
12;50;"07/27/2015";21.654;16.22;10.46;3.25;16.48
12;100;"07/27/2015";21.617;16.28;10.47;3.38;20.75
13;150;"07/27/2015";21.505;14.13;9.89;2.48;22.65
13;50;"07/27/2015";21.678;14.3;9.92;2.32;6.26
13;100;"07/27/2015";21.623;14.28;9.91;2.42;14.52
14;150;"07/27/2015";21.511;13.27;9.74;2.61;24.59
14;50;"07/27/2015";21.761;13.11;9.72;2.32;11.36
14;100;"07/27/2015";21.749;13.12;9.71;2.33;19.96
15;150;"07/27/2015";21.515;16.24;10.28;6.14;40.23
15;50;"07/27/2015";21.673;15.84;10.24;3.16;18.91
15;100;"07/27/2015";21.637;15.89;10.23;3.1;26.93
16;150;"07/27/2015";21.466;14.19;10.08;6.62;67.39
16;50;"07/27/2015";21.527;14.01;10.07;2.86;11.41
16;100;"07/27/2015";21.502;14.07;10.07;3.12;25.19
17;150;"07/27/2015";21.444;12.99;9.67;2.08;17.11
17;50;"07/27/2015";0.02155;12.99;9.68;2.11;10.79
17;100;"07/27/2015";21.557;12.92;9.67;2.08;10.36
18;150;"07/27/2015";21.427;15.87;10.26;3.72;46.15
18;50;"07/27/2015";21.525;15.12;10.18;3.09;16.11
18;100;"07/27/2015";21.512;15.38;10.18;3.04;27.34
19;150;"07/27/2015";21.483;16.46;10.53;3.7;33.07
19;50;"07/27/2015";21.502;16.36;10.52;3.01;19.63
19;100;"07/27/2015";0.02148;16.49;10.54;3.28;40.3
1;150;"07/27/2015";21.393;13.54;9.85;4.74;50.73
1;50;"07/27/2015";21.451;12.82;9.75;1.94;13.03
1;100;"07/27/2015";21.436;12.91;9.75;1.91;15.75
20;150;"07/27/2015";21.397;14.28;10;3.11;45.3
20;50;"07/27/2015";21.618;14.06;9.95;2.8;19.1
20;100;"07/27/2015";21.533;14.07;9.95;2.89;26.9
21;150;"07/27/2015";21.438;15.7;10.31;2.72;33.37
21;50;"07/27/2015";0.02153;15.35;10.29;2.5;16.94
21;100;"07/27/2015";0.02151;15.54;10.3;2.48;31.73
22;150;"07/28/2015";NA;12.93;10.06;1.83;NA
