"mesocosm";"deapth";"date";"experimentator"
1;"1.23";"23/07/2015";"missing"
2;"1.21";"23/07/2015";"missing"
3;"1.09";"23/07/2015";"missing"
4;"1.12";"23/07/2015";"missing"
5;"1.32";"23/07/2015";"missing"
6;"1.14";"23/07/2015";"missing"
7;"1.02";"23/07/2015";"missing"
8;"1.02";"23/07/2015";"missing"
9;"1.11";"23/07/2015";"missing"
10;"1.09";"23/07/2015";"missing"
11;"1.05";"23/07/2015";"missing"
12;"0.92";"23/07/2015";"missing"
13;"1.22";"23/07/2015";"missing"
14;"1.15";"23/07/2015";"missing"
15;"1.03";"23/07/2015";"missing"
16;"0.94";"23/07/2015";"missing"
17;"1.22";"23/07/2015";"missing"
18;"0.97";"23/07/2015";"missing"
19;"0.85";"23/07/2015";"missing"
20;"1.14";"23/07/2015";"missing"
21;"0.96";"23/07/2015";"missing"
22;"1.21";"23/07/2015";"missing"
23;"1.22";"23/07/2015";"missing"
24;"1.21";"23/07/2015";"missing"
25;"0.92";"23/07/2015";"missing"
26;"1.16";"23/07/2015";"missing"
27;"1.08";"23/07/2015";"missing"
28;"1.1";"23/07/2015";"missing"
29;"1.01";"23/07/2015";"missing"
30;"1.12";"23/07/2015";"missing"
31;"1.11";"23/07/2015";"missing"
32;"0.97";"23/07/2015";"missing"
33;"1.11";"23/07/2015";"missing"
34;"0.9";"23/07/2015";"missing"
35;"1.01";"23/07/2015";"missing"
36;"1.1";"23/07/2015";"missing"
1;"1.6";"28/07/15";"Kejun"
2;"1.58";"28/07/15";"Kejun"
3;"1.43";"28/07/15";"Kejun"
4;"1.21";"28/07/15";"Kejun"
5;"1.55";"28/07/15";"Kejun"
6;"1.25";"28/07/15";"Kejun"
7;"1.19";"28/07/15";"Kejun"
8;"1.41";"28/07/15";"Kejun"
9;"1.32";"28/07/15";"Kejun"
10;"1.17";"28/07/15";"Kejun"
11;"1.3";"28/07/15";"Kejun"
12;"1.15";"28/07/15";"Kejun"
13;"1.42";"28/07/15";"Kejun"
14;"1.58";"28/07/15";"Kejun"
15;"1.15";"28/07/15";"Kejun"
16;"1.2";"28/07/15";"Kejun"
17;"1.72";"28/07/15";"Kejun"
18;"1.08";"28/07/15";"Kejun"
19;"1.25";"28/07/15";"Kejun"
20;"1.4";"28/07/15";"Kejun"
21;"1.4";"28/07/15";"Kejun"
22;"1.5";"28/07/15";"Kejun"
23;"1.41";"28/07/15";"Kejun"
24;"1.32";"28/07/15";"Kejun"
25;"1.05";"28/07/15";"Kejun"
26;"1.4";"28/07/15";"Kejun"
27;"1.15";"28/07/15";"Kejun"
28;"1.4";"28/07/15";"Pierre"
29;"1.11";"28/07/15";"Pierre"
30;"1.23";"28/07/15";"Pierre"
31;"1.2";"28/07/15";"Pierre"
32;"1.1";"28/07/15";"Pierre"
33;"1.4";"28/07/15";"Pierre"
