mesocosme;poids_total_sec;poids_total;poids_pot
29;18.9265;18.9346;18.592
14;18.9874;18.9975;18.8258
32;18.9245;18.937;18.6798
15;18.9823;18.9908;18.683
22;18.8931;18.9024;18.6389
6;19.1721;19.1809;18.8945
31;18.7281;18.7411;18.5356
20;19.1472;19.1562;18.6793
21;18.8016;19.3773;18.6754
26;18.8016;18.8095;18.7012
13;18.7227;18.7287;18.521
18;19.2008;19.2115;18.7312
17;18.9843;18.9935;18.7834
3;18.7426;18.747;18.5805
4;18.5324;18.5383;18.3956
5;19.1031;19.1128;18.9303
23;18.6912;18.7003;18.56
33;19.0501;19.0556;18.8921
35;19.0906;19.0993;18.6925
27;19.1245;19.1339;18.756
36;18.9754;18.9822;18.7296
9;18.8336;18.8395;18.4904
10;19.1065;19.1146;18.677
28;18.9536;18.9598;18.7495
30;18.8977;18.9055;18.5577
16;18.8228;18.8324;18.633
2;18.8044;18.8092;18.6772
1;18.7579;18.7665;18.5442
12;18.7866;18.7918;18.596
8;19.0184;19.0267;18.8472
34;18.9831;18.9888;18.6226
7;19.149;19.1571;18.8149
11;19.0584;19.0666;18.6883
19;19.1639;19.171;18.6391
24;18.8597;18.8684;18.4891
25;18.9948;19.0021;18.6223
