mesocosm;OM;light;fish;position;bloc;orientation
1;1;1;0;B;1;N
2;0;0;0;B;1;M
3;1;0;0;B;1;S
4;1;1;1;B;1;N
5;0;1;0;M;1;M
6;0;1;1;B;1;S
7;1;0;1;B;1;N
8;0;0;1;M;1;M
9;1;1;1;B;1;S
10;0;1;1;B;2;N
11;1;1;1;M;2;M
12;0;0;1;B;2;S
13;1;0;0;B;2;N
14;1;1;0;M;2;M
15;1;0;1;B;2;S
16;0;0;0;B;2;N
17;0;1;0;B;2;M
18;0;0;1;B;2;S
19;1;0;1;B;3;N
20;1;1;1;B;3;M
21;0;1;1;B;3;S
22;0;1;0;B;3;N
23;1;0;0;M;3;M
24;1;1;0;B;3;S
25;0;0;1;B;3;N
26;0;0;0;M;3;M
27;1;0;1;B;3;S
28;1;0;0;B;4;N
29;0;1;1;M;4;M
30;0;0;1;B;4;S
31;1;1;0;B;4;N
32;1;0;1;M;4;M
33;0;0;0;B;4;S
34;1;1;1;B;4;N
35;0;1;1;B;4;M
36;0;1;0;B;4;S
