"mesocosm";"date";"hour";"counting_date";"cyclopide";"nauplius";"lecane";"bdelloide";"chydoridae";"chaoborus";"amibe";"conochilus";"ceratium";"keratella";"lepadella";"ascomorpha";"polyarthra"
1;"2015/08/19";"12:59";"2017/08/22";27;55;2513;259;85;5;1;0;0;0;38;0;1
2;"2015/08/19";"12:56";"2017/08/22";51;223;575;222;8;2;0;1;0;1;13;0;6
3;"2015/08/19";"12:53";"2017/08/21";51;240;960;266;106;0;0;0;0;1;9;0;10
4;"2015/08/19";"12:49";"2017/08/21";54;295;2307;244;133;0;3;0;0;23;3;0;8
6;"2015/08/19";"12:47";"2017/08/11";137;486;7632;57;44;0;5;0;0;1;184;1;20
8;"2015/08/19";"12:33";"2017/08/02";188;587;198;20;18;0;0;0;0;5;2;23;360
9;"2015/08/19";"12:29";"2017/08/17";68;1231;2915;198;430;0;10;0;0;16;14;5;15
10;"2015/08/19";"12:21";"2017/08/03";326;1502;3699;87;163;0;26;0;0;2;21;4;98
11;"2015/08/19";"12:17";"2017/08/10";341;1304;1479;82;166;0;13;0;0;2;7;0;255
12;"2015/08/19";"12:13";"2017/08/10";67;214;3571;214;104;0;3;0;0;0;12;1;18
13;"2015/08/19";"12:08";"2017/08/09";47;120;440;266;9;0;1;0;0;0;4;0;9
14;"2015/08/19";"12:04";"2017/08/16";71;627;235;56;17;4;0;0;0;0;6;0;222
15;"2015/08/19";"12:00";"2016/09/06";54;941;2281;80;100;0;12;0;0;1;21;0;0
16;"2015/08/19";"11:55";"2017/07/25";10;49;901;139;18;1;1;0;0;0;1;0;0
17;"2015/08/19";"11:51";"2016/10/10";77;240;1298;246;43;9;5;0;0;1;1;0;824
18;"2015/08/19";"11:46";"2016/09/08";46;165;1750;181;351;1;25;0;0;10;14;0;0
19;"2015/08/19";"11:30";"2016/07/12";15;128;1625;126;459;0;253;1;0;6;114;420;0
20;"2015/08/19";"11:25";"2016/09/08";58;229;13;7;66;0;3;0;0;0;0;0;0
21;"2015/08/19";"12:21";"2016/09/07";26;599;1117;73;691;0;16;0;0;1;4;0;0
22;"2015/08/19";"11:19";"2017/08/01";28;22;1056;136;89;1;0;0;0;1;8;9;9
23;"2015/08/19";"11:14";"2017/07/31";81;262;775;106;19;1;4;1;6;1;5;1263;6868
24;"2015/08/19";"11:10";"2017/07/26";30;39;585;130;4;4;10;0;0;0;47;0;0
26;"2015/08/19";"11:02";"2017/07/26";16;112;793;50;11;2;7;0;0;0;6;36;1161
27;"2015/08/19";"10:58";"2017/07/24";149;714;803;28;77;0;10;0;0;2;43;0;0
28;"2015/08/19";"10:46";"2016/09/12";23;41;456;86;23;2;3;1;0;0;22;0;0
29;"2015/08/19";"10:41";"2017/07/25";321;228;933;28;356;0;10;0;0;0;14;0;0
30;"2015/08/19";"10:35";"2016/07/07";180;275;220;55;51;0;10;5;1;2;0;0;0
31;"2015/08/19";"10:32";"2016/10/13";11;21;346;74;79;2;5;0;0;0;4;0;0
32;"2015/08/19";"10:27";"2016/10/11";114;413;244;55;571;0;19;0;0;3;14;0;0
33;"2015/08/19";"10:24";"2016/10/12";20;38;477;274;21;1;13;0;0;1;17;0;0
34;"2015/08/19";"10:21";"2016/07/08";28;46;1625;133;132;0;14;0;0;0;2;0;0
35;"2015/08/19";"10:18";"2016/07/18";268;140;107;26;656;0;63;1;0;1;3;43;0
