mesocosm;date;cyclopide;nauplius;lecane;bdelloide;chydoridae;chaoborus;amibe;keratella;lepadella;polyarthra;brachionus;anuraeopsis;hexarthra;bosmine;filinia;large_lecane;oligochete
1;25/09/15;8;23;260;744;2;0;12;188;32;0;109;402;0;0;0;0;0
2;25/09/15;35;311;37;182;3;0;0;260;2;21;68;3;0;0;0;0;0
3;25/09/15;84;218;78;2611;8;0;0;79;2;0;85;436;0;0;0;0;7
4;25/09/15;248;95;32;2079;211;0;0;27900;0;0;2;0;0;0;0;0;0
5;25/09/15;39;2723;34;16;5;0;0;473;0;2060;101;3;0;0;0;0;0
6;25/09/15;3;0;0;52;99;0;0;56572;0;0;0;0;0;0;0;0;9
7;25/09/15;72;36;18;3;23;0;2;10260;1;21;16440;2;8;0;0;0;0
8;25/09/15;551;455;0;10;13;0;0;25500;1;0;31;0;0;0;0;0;0
9;25/09/15;155;89;3;144;278;0;2;31940;0;0;0;4;1;0;0;0;0
10;25/09/15;56;6;40;4;291;0;6;54824;20;800;480;0;0;277;0;0;0
11;25/09/15;45;660;0;43;24;0;0;23;0;0;4;216;0;0;0;0;0
12;25/09/15;6;57;14;28;184;0;1;15;0;27;554;16;22;0;0;0;0
13;25/09/15;89;492;32;22;19;0;1;8;0;0;6;0;0;0;0;0;1
14;25/09/15;387;721;19;52;13;0;1;9;0;3;114;21;0;0;0;0;0
15;25/09/15;26;121;11;25;49;0;0;20;0;0;11;4;0;0;0;0;0
16;25/09/15;71;276;298;243;4;0;2;10;3;0;1659;785;0;0;0;0;0
17;25/09/15;42;283;20;182;17;0;0;20;0;0;4;3;0;0;0;0;0
18;25/09/15;24;92;9;66;500;0;6;21;0;3;14;0;0;0;1;3;13
19;25/09/15;36;126;69;88;530;0;12;86;1;0;6;0;0;0;0;109;9
20;25/09/15;406;2673;7;73;182;0;6;9;0;0;47;11;0;0;0;0;6
21;25/09/15;34;29;59;84;428;0;17;76;0;0;0;0;0;0;0;0;0
22;25/09/15;130;161;188;437;14;0;2;208;1;1;146;212;0;0;0;0;0
23;25/09/15;67;459;186;144;31;0;0;186;0;1;9;6;0;0;0;0;0
24;25/09/15;107;210;94;4097;42;0;3;94;1;2;4273;625;0;0;0;0;0
25;25/09/15;61;137;1;100;459;0;8;61550;0;0;4;0;0;0;0;0;0
26;25/09/15;27;511;512;503;13;0;0;32;0;25;0;0;0;0;0;0;0
27;25/09/15;21;115;20;249;203;0;4;12680;4;0;6;7;0;0;0;0;0
28;25/09/15;39;263;174;183;10;0;1;28;0;0;1433;137;0;0;0;0;0
29;25/09/15;358;216;23;35;78;0;4;2;2;0;11;380;0;0;0;0;0
30;25/09/15;37;66;44;582;134;0;0;4;0;0;5;25;0;0;0;0;1
31;25/09/15;113;418;120;75;130;1;4;136;0;0;1084;0;0;0;0;0;0
32;25/09/15;11;74;3;106;66;0;1;2;0;7;1;0;0;0;0;0;0
33;25/09/15;68;429;68;85;50;0;0;8;2;0;55;0;0;0;0;0;0
34;25/09/15;147;196;145;51;248;0;16;17;12;23;236;7;2277;0;0;0;0
35;25/09/15;29;201;7;23;1642;0;7;0;0;0;1;0;0;0;0;0;33
36;25/09/15;20;76;31;12;133;3;1;1;2;0;50;23;0;0;0;0;6
