mesocosm;before;after;volume
1;13.119;16.57;24000
2;13.154;14.316;24000
3;13.136;14.76;24000
4;13.116;15.964;24000
5;13.096;16.98;24000
6;13.027;23.433;24000
7;13.046;16.295;24000
8;13.241;15.802;24000
9;13.069;18.125;24000
10;13.18;17.057;24000
11;12.983;14.116;24000
12;13.149;14.622;24000
13;13.221;14.35;24000
14;12.98;16.653;24000
15;13.282;16.141;24000
16;13.011;17.613;24000
17;13.22;13.825;24000
18;13.233;19.764;24000
19;12.977;14.305;24000
20;13.172;15.03;24000
21;13.149;14.29;24000
22;12.956;15.308;24000
23;12.938;13.697;24000
24;13.011;15.982;24000
25;13.289;15.22;24000
26;13.005;15.485;24000
27;13.176;14.121;24000
28;13.024;14.439;24000
29;13.041;14.972;24000
30;13.031;14.136;24000
31;13.049;14.788;24000
32;13.162;14.728;24000
33;13.22;14.493;24000
34;13.226;14.368;24000
35;13.12;14.769;24000
36;13.335;14.473;24000
